ACTIVITY_DATE,STATION_NAME,ACTIVITY_HOUR,TOTAL_ACTIVITY,DENSITY_CATEGORY,LATITUDE,LONGITUDE
2024-02-01,BENSON STREET,8,15,Intense,53.3442,-6.23345
2024-02-01,CHARLEMONT PLACE,10,14,Intense,53.3307,-6.26018
2024-02-01,CUSTOM HOUSE,11,7,Intense,53.3483,-6.25466
2024-02-01,CUSTOM HOUSE,16,7,Intense,53.3483,-6.25466
2024-02-01,CUSTOM HOUSE,17,7,Intense,53.3483,-6.25466
2024-02-01,CUSTOM HOUSE QUAY,16,20,Intense,53.3479,-6.24805
2024-02-01,EXCHEQUER STREET,22,13,Intense,53.343,-6.26358
2024-02-01,FOWNES STREET UPPER,18,13,Intense,53.3446,-6.26337
2024-02-01,GRAND CANAL DOCK,8,16,Intense,53.3426,-6.2387
2024-02-01,HANOVER QUAY,17,13,Intense,53.3441,-6.23715
2024-02-01,HERBERT PLACE,8,9,Intense,53.3344,-6.24557
2024-02-01,MOUNT STREET LOWER,14,17,Intense,53.338,-6.24153
2024-02-01,MOUNTJOY SQUARE WEST,13,21,Intense,53.3563,-6.25859
2024-02-01,NEW CENTRAL BANK,8,12,Intense,53.3471,-6.23475
2024-02-01,NORTH CIRCULAR ROAD (O'CONNELL'S),16,6,Intense,53.3578,-6.25156
2024-02-01,NORTH CIRCULAR ROAD (O'CONNELL'S),17,6,Intense,53.3578,-6.25156
2024-02-01,NORTH CIRCULAR ROAD (O'CONNELL'S),6,6,Intense,53.3578,-6.25156
2024-02-01,NORTH CIRCULAR ROAD (O'CONNELL'S),8,6,Intense,53.3578,-6.25156
2024-02-01,PEARSE STREET,9,14,Intense,53.3443,-6.25043
2024-02-01,PORTOBELLO HARBOUR,9,19,Intense,53.3304,-6.26516
2024-02-01,PORTOBELLO ROAD,14,10,Intense,53.3301,-6.26804
2024-02-01,PRINCES STREET / O'CONNELL STREET,12,8,Intense,53.349,-6.26031
2024-02-01,SIR PATRICK DUN'S,8,17,Intense,53.3392,-6.24064
2024-02-01,WILTON TERRACE (PARK),17,13,Intense,53.3337,-6.24834
2024-02-02,BENSON STREET,17,8,Intense,53.3442,-6.23345
2024-02-02,CHARLEMONT PLACE,8,10,Intense,53.3307,-6.26018
2024-02-02,CUSTOM HOUSE,16,6,Intense,53.3483,-6.25466
2024-02-02,CUSTOM HOUSE,9,6,Intense,53.3483,-6.25466
2024-02-02,CUSTOM HOUSE QUAY,15,19,Intense,53.3479,-6.24805
2024-02-02,EXCHEQUER STREET,9,6,Intense,53.343,-6.26358
2024-02-02,FOWNES STREET UPPER,13,17,Intense,53.3446,-6.26337
2024-02-02,GRAND CANAL DOCK,17,7,Intense,53.3426,-6.2387
2024-02-02,GRAND CANAL DOCK,23,7,Intense,53.3426,-6.2387
2024-02-02,HANOVER QUAY,17,6,Intense,53.3441,-6.23715
2024-02-02,HERBERT PLACE,9,11,Intense,53.3344,-6.24557
2024-02-02,MOUNT STREET LOWER,19,8,Intense,53.338,-6.24153
2024-02-02,MOUNTJOY SQUARE WEST,15,16,Intense,53.3563,-6.25859
2024-02-02,NEW CENTRAL BANK,18,8,Intense,53.3471,-6.23475
2024-02-02,NORTH CIRCULAR ROAD (O'CONNELL'S),8,8,Intense,53.3578,-6.25156
2024-02-02,PEARSE STREET,14,19,Intense,53.3443,-6.25043
2024-02-02,PORTOBELLO HARBOUR,10,11,Intense,53.3304,-6.26516
2024-02-02,PORTOBELLO HARBOUR,9,11,Intense,53.3304,-6.26516
2024-02-02,PORTOBELLO ROAD,11,7,Intense,53.3301,-6.26804
2024-02-02,PORTOBELLO ROAD,9,7,Intense,53.3301,-6.26804
2024-02-02,PRINCES STREET / O'CONNELL STREET,15,10,Intense,53.349,-6.26031
2024-02-02,SIR PATRICK DUN'S,19,10,Intense,53.3392,-6.24064
2024-02-02,SIR PATRICK DUN'S,9,10,Intense,53.3392,-6.24064
2024-02-02,WILTON TERRACE (PARK),8,9,Intense,53.3337,-6.24834
2024-02-03,BENSON STREET,10,2,Intense,53.3442,-6.23345
2024-02-03,BENSON STREET,15,2,Intense,53.3442,-6.23345
2024-02-03,BENSON STREET,16,2,Intense,53.3442,-6.23345
2024-02-03,BENSON STREET,17,2,Intense,53.3442,-6.23345
2024-02-03,BENSON STREET,7,2,Intense,53.3442,-6.23345
2024-02-03,BENSON STREET,9,2,Intense,53.3442,-6.23345
2024-02-03,CHARLEMONT PLACE,11,4,Intense,53.3307,-6.26018
2024-02-03,CHARLEMONT PLACE,12,4,Intense,53.3307,-6.26018
2024-02-03,CHARLEMONT PLACE,23,4,Intense,53.3307,-6.26018
2024-02-03,CUSTOM HOUSE,13,12,Intense,53.3483,-6.25466
2024-02-03,CUSTOM HOUSE QUAY,16,5,Intense,53.3479,-6.24805
2024-02-03,EXCHEQUER STREET,12,7,Intense,53.343,-6.26358
2024-02-03,FOWNES STREET UPPER,12,9,Intense,53.3446,-6.26337
2024-02-03,GRAND CANAL DOCK,18,6,Intense,53.3426,-6.2387
2024-02-03,HANOVER QUAY,12,7,Intense,53.3441,-6.23715
