ACTIVITY_DATE,STATION_NAME,ACTIVITY_HOUR,TOTAL_ACTIVITY,DENSITY_CATEGORY,LATITUDE,LONGITUDE
2024-02-01,Broadway & Barry Ave,12,9,Intense,41.99,-87.71
2024-02-01,Broadway & Barry Ave,16,9,Intense,41.99,-87.71
2024-02-01,Broadway & Barry Ave,18,9,Intense,41.99,-87.71
2024-02-01,Canal St & Adams St,9,16,Intense,41.98,-87.72
2024-02-01,Canal St & Madison St,16,20,Intense,41.97,-87.77
2024-02-01,Clark St & Elm St,8,12,Intense,41.99,-87.72
2024-02-01,Clinton St & Jackson Blvd,8,19,Intense,41.96,-87.72
2024-02-01,Clinton St & Madison St,16,19,Intense,41.98,-87.76
2024-02-01,Clinton St & Washington Blvd,8,24,Intense,41.96,-87.82
2024-02-01,Daley Center Plaza,16,14,Intense,41.95,-87.68
2024-02-01,Dearborn St & Erie St,10,6,Intense,41.96,-87.69
2024-02-01,Ellis Ave & 55th St,11,9,Intense,41.794380188,-87.60158066666666
2024-02-01,Ellis Ave & 55th St,15,9,Intense,41.794380188,-87.60158066666666
2024-02-01,Ellis Ave & 60th St,17,12,Intense,41.97,-87.72
2024-02-01,Ellis Ave & 60th St,9,12,Intense,41.97,-87.72
2024-02-01,Kingsbury St & Kinzie St,9,18,Intense,42,-87.78
2024-02-01,Larrabee St & Kingsbury St,17,16,Intense,41.95,-87.69
2024-02-01,Ravenswood Ave & Lawrence Ave,16,15,Intense,42.06,-87.79
2024-02-01,Ravenswood Ave & Lawrence Ave,17,15,Intense,42.06,-87.79
2024-02-01,Sheffield Ave & Fullerton Ave,13,16,Intense,41.98,-87.81
2024-02-01,Streeter Dr & Grand Ave,14,7,Intense,41.97,-87.73
2024-02-01,University Ave & 57th St,17,17,Intense,41.97,-87.68
2024-02-01,Wells St & Concord Ln,15,6,Intense,41.96,-87.71
2024-02-01,Wells St & Concord Ln,18,6,Intense,41.96,-87.71
2024-02-01,Wells St & Concord Ln,19,6,Intense,41.96,-87.71
2024-02-01,Wells St & Elm St,17,12,Intense,42,-87.72
2024-02-02,Broadway & Barry Ave,14,7,Intense,41.99,-87.71
2024-02-02,Broadway & Barry Ave,17,7,Intense,41.99,-87.71
2024-02-02,Canal St & Adams St,17,8,Intense,41.98,-87.72
2024-02-02,Canal St & Madison St,7,6,Intense,41.97,-87.77
2024-02-02,Clark St & Elm St,18,9,Intense,41.99,-87.72
2024-02-02,Clinton St & Jackson Blvd,15,7,Intense,41.96,-87.72
2024-02-02,Clinton St & Jackson Blvd,16,7,Intense,41.96,-87.72
2024-02-02,Clinton St & Jackson Blvd,7,7,Intense,41.96,-87.72
2024-02-02,Clinton St & Jackson Blvd,9,7,Intense,41.96,-87.72
2024-02-02,Clinton St & Madison St,16,15,Intense,41.98,-87.76
2024-02-02,Clinton St & Madison St,8,15,Intense,41.98,-87.76
2024-02-02,Clinton St & Washington Blvd,15,14,Intense,41.96,-87.82
2024-02-02,Clinton St & Washington Blvd,8,14,Intense,41.96,-87.82
2024-02-02,Daley Center Plaza,18,6,Intense,41.95,-87.68
2024-02-02,Daley Center Plaza,9,6,Intense,41.95,-87.68
2024-02-02,Dearborn St & Erie St,17,8,Intense,41.96,-87.69
2024-02-02,Ellis Ave & 55th St,17,10,Intense,41.794380188,-87.60158066666666
2024-02-02,Ellis Ave & 60th St,12,9,Intense,41.97,-87.72
2024-02-02,Ellis Ave & 60th St,15,9,Intense,41.97,-87.72
2024-02-02,Ellis Ave & 60th St,17,9,Intense,41.97,-87.72
2024-02-02,Kingsbury St & Kinzie St,7,13,Intense,42,-87.78
2024-02-02,Larrabee St & Kingsbury St,15,8,Intense,41.95,-87.69
2024-02-02,Larrabee St & Kingsbury St,16,8,Intense,41.95,-87.69
2024-02-02,Ravenswood Ave & Lawrence Ave,7,9,Intense,42.06,-87.79
2024-02-02,Sheffield Ave & Fullerton Ave,12,8,Intense,41.98,-87.81
2024-02-02,Streeter Dr & Grand Ave,10,5,Intense,41.97,-87.73
2024-02-02,Streeter Dr & Grand Ave,19,5,Intense,41.97,-87.73
2024-02-02,University Ave & 57th St,12,14,Intense,41.97,-87.68
2024-02-02,University Ave & 57th St,14,14,Intense,41.97,-87.68
2024-02-02,Wells St & Concord Ln,8,9,Intense,41.96,-87.71
2024-02-02,Wells St & Elm St,11,8,Intense,42,-87.72
2024-02-02,Wells St & Elm St,13,8,Intense,42,-87.72
2024-02-03,Broadway & Barry Ave,10,9,Intense,41.99,-87.71
2024-02-03,Canal St & Adams St,16,3,Intense,41.98,-87.72
2024-02-03,Canal St & Madison St,17,3,Intense,41.97,-87.77
2024-02-03,Canal St & Madison St,18,3,Intense,41.97,-87.77
2024-02-03,Clark St & Elm St,9,10,Intense,41.99,-87.72
2024-02-03,Clinton St & Jackson Blvd,13,3,Intense,41.96,-87.72
2024-02-03,Clinton St & Jackson Blvd,16,3,Intense,41.96,-87.72
2024-02-03,Clinton St & Jackson Blvd,17,3,Intense,41.96,-87.72
2024-02-03,Clinton St & Madison St,10,5,Intense,41.98,-87.76
2024-02-03,Clinton St & Madison St,12,5,Intense,41.98,-87.76
2024-02-03,Clinton St & Madison St,13,5,Intense,41.98,-87.76
2024-02-03,Clinton St & Madison St,16,5,Intense,41.98,-87.76
2024-02-03,Clinton St & Washington Blvd,11,3,Intense,41.96,-87.82
2024-02-03,Daley Center Plaza,19,4,Intense,41.95,-87.68
2024-02-03,Dearborn St & Erie St,11,11,Intense,41.96,-87.69
2024-02-03,Ellis Ave & 55th St,10,10,Intense,41.794380188,-87.60158066666666
2024-02-03,Ellis Ave & 60th St,13,14,Intense,41.97,-87.72
2024-02-03,Kingsbury St & Kinzie St,11,11,Intense,42,-87.78
2024-02-03,Larrabee St & Kingsbury St,18,3,Intense,41.95,-87.69
2024-02-03,Larrabee St & Kingsbury St,8,3,Intense,41.95,-87.69
2024-02-03,Ravenswood Ave & Lawrence Ave,14,6,Intense,42.06,-87.79
2024-02-03,Sheffield Ave & Fullerton Ave,13,6,Intense,41.98,-87.81
2024-02-03,Sheffield Ave & Fullerton Ave,17,6,Intense,41.98,-87.81
2024-02-03,Streeter Dr & Grand Ave,14,11,Intense,41.97,-87.73
2024-02-03,University Ave & 57th St,16,12,Intense,41.97,-87.68
2024-02-03,University Ave & 57th St,17,12,Intense,41.97,-87.68
2024-02-03,Wells St & Concord Ln,10,9,Intense,41.96,-87.71
2024-02-03,Wells St & Concord Ln,15,9,Intense,41.96,-87.71
2024-02-03,Wells St & Elm St,13,6,Intense,42,-87.72
2024-02-03,Wells St & Elm St,15,6,Intense,42,-87.72
2024-02-04,Broadway & Barry Ave,12,10,Intense,41.99,-87.71
2024-02-04,Canal St & Adams St,22,3,Intense,41.98,-87.72
2024-02-04,Canal St & Madison St,11,3,Intense,41.97,-87.77
2024-02-04,Clark St & Elm St,12,7,Intense,41.99,-87.72
2024-02-04,Clark St & Elm St,13,7,Intense,41.99,-87.72
2024-02-04,Clark St & Elm St,16,7,Intense,41.99,-87.72
2024-02-04,Clinton St & Jackson Blvd,8,4,Intense,41.96,-87.72
2024-02-04,Clinton St & Madison St,12,4,Intense,41.98,-87.76
2024-02-04,Clinton St & Madison St,13,4,Intense,41.98,-87.76
2024-02-04,Clinton St & Washington Blvd,10,4,Intense,41.96,-87.82
2024-02-04,Daley Center Plaza,11,4,Intense,41.95,-87.68
2024-02-04,Dearborn St & Erie St,16,6,Intense,41.96,-87.69
2024-02-04,Ellis Ave & 55th St,19,10,Intense,41.794380188,-87.60158066666666
2024-02-04,Ellis Ave & 60th St,20,13,Intense,41.97,-87.72
2024-02-04,Kingsbury St & Kinzie St,10,11,Intense,42,-87.78
2024-02-04,Larrabee St & Kingsbury St,10,2,Intense,41.95,-87.69
2024-02-04,Larrabee St & Kingsbury St,11,2,Intense,41.95,-87.69
2024-02-04,Larrabee St & Kingsbury St,14,2,Intense,41.95,-87.69
2024-02-04,Larrabee St & Kingsbury St,17,2,Intense,41.95,-87.69
2024-02-04,Larrabee St & Kingsbury St,21,2,Intense,41.95,-87.69
2024-02-04,Larrabee St & Kingsbury St,8,2,Intense,41.95,-87.69
2024-02-04,Ravenswood Ave & Lawrence Ave,12,6,Intense,42.06,-87.79
2024-02-04,Ravenswood Ave & Lawrence Ave,16,6,Intense,42.06,-87.79
2024-02-04,Sheffield Ave & Fullerton Ave,16,5,Intense,41.98,-87.81
2024-02-04,Streeter Dr & Grand Ave,11,8,Intense,41.97,-87.73
2024-02-04,University Ave & 57th St,12,13,Intense,41.97,-87.68
2024-02-04,University Ave & 57th St,13,13,Intense,41.97,-87.68
